@relation artificial
@attribute Bag_id {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99}
@attribute F0 real [-8.67135388617438, 9.63908389546427]
@attribute F1 real [-8.147225876644535, 10.238474042542697]
@attribute Class {0, 1}
@inputs Bag_id, F0, F1
@outputs Class
@data
0, 2.6438614744812403, 4.974764757324762, 0
0, 2.9409090287884476, 8.361385432336066, 0
1, -5.077117102343872, -3.0865446814638338, 1
1, -4.636737662559121, -1.4626493783023378, 1
1, -5.678960184683332, -2.7622109555522, 1
1, -3.184133770681895, -5.596444621338774, 1
1, -4.001089077451408, -4.356239097432359, 1
1, -4.747214589781226, -3.724738610598847, 1
1, -6.033302623078742, -2.9830722041337085, 1
2, 4.8486832494678485, 4.642362182464116, 0
2, 5.750902010716312, 6.3778845386257546, 0
2, 6.115620791052086, 5.770174295159464, 0
2, 4.683455130872844, 4.575927474122052, 0
2, 3.93305851460585, 5.459854916783708, 0
2, 4.822981507252833, 4.394753051864546, 0
2, 4.82199757576341, 4.725749639101583, 0
2, 5.994612450776063, 4.4496450142847, 0
2, 4.803090655911732, 5.410805052123145, 0
2, 4.200082611615538, 4.946614459651678, 0
2, 5.541133923852539, 6.365302874836693, 0
2, 7.131448096721281, 6.450632250344706, 0
2, 6.214005082194281, 4.7998381807091, 0
2, 5.848143400212609, 5.7912527697024085, 0
2, 3.705891407844482, 5.794008167817562, 0
3, -7.858812149117152, -4.178605941987308, 1
3, -6.05640309456094, -2.585525698686402, 1
3, -2.9921767483087005, -4.733573135372957, 1
3, -5.084709801882649, -4.093183144511522, 1
